Nama,Brand,Rilis,Harga_Varian,RAM,Memori_Internal,Chipset,Kamera_Utama,Baterai,Charger,OS,URL
iPad 11 inch A16 (WiFi) (6GB/128GB),APPLE,2025,6699000,6,128,Apple A16 Bionic,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-11-inch-a16-wifi/
iPad 11 inch A16 (WiFi) (6GB/256GB),APPLE,2025,8699000,6,256,Apple A16 Bionic,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-11-inch-a16-wifi/
iPad 11 inch A16 (WiFi) (6GB/512GB),APPLE,2025,12699000,6,512,Apple A16 Bionic,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-11-inch-a16-wifi/
iPad Air 13 M3 (WiFi) (8GB/128GB),APPLE,2025,14749000,8,128,Apple M3,12 MP • Wide • f/1.8,9705,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-13-m3-wifi/
iPad Air 13 M3 (WiFi) (8GB/256GB),APPLE,2025,17249000,8,256,Apple M3,12 MP • Wide • f/1.8,9705,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-13-m3-wifi/
iPad Air 13 M3 (WiFi) (8GB/512GB),APPLE,2025,21249000,8,512,Apple M3,12 MP • Wide • f/1.8,9705,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-13-m3-wifi/
iPad Air 13 M3 (WiFi) (8GB/1024GB),APPLE,2025,25249000,8,1024,Apple M3,12 MP • Wide • f/1.8,9705,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-13-m3-wifi/
iPad Air 11 M3 (WiFi) (8GB/128GB),APPLE,2025,11249000,8,128,Apple M3,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-11-m3-wifi/
iPad Air 11 M3 (WiFi) (8GB/256GB),APPLE,2025,13249000,8,256,Apple M3,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-11-m3-wifi/
iPad Air 11 M3 (WiFi) (8GB/512GB),APPLE,2025,17249000,8,512,Apple M3,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-11-m3-wifi/
iPad Air 11 M3 (WiFi) (8GB/1024GB),APPLE,2025,21749000,8,1024,Apple M3,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-11-m3-wifi/
iPad 11 inch A16 (WiFi + Cellular) (6GB/128GB),APPLE,2025,9699000,6,128,Apple A16 Bionic,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-2025/
iPad 11 inch A16 (WiFi + Cellular) (6GB/256GB),APPLE,2025,11699000,6,256,Apple A16 Bionic,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-2025/
iPad 11 inch A16 (WiFi + Cellular) (6GB/512GB),APPLE,2025,15699000,6,512,Apple A16 Bionic,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-2025/
iPad Air 13 M3 (WiFi + Cellular) (8GB/128GB),APPLE,2025,18749000,8,128,Apple M3,12 MP • Wide • f/1.8,9705,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-13-2025/
iPad Air 13 M3 (WiFi + Cellular) (8GB/256GB),APPLE,2025,20749000,8,256,Apple M3,12 MP • Wide • f/1.8,9705,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-13-2025/
iPad Air 13 M3 (WiFi + Cellular) (8GB/512GB),APPLE,2025,24749000,8,512,Apple M3,12 MP • Wide • f/1.8,9705,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-13-2025/
iPad Air 13 M3 (WiFi + Cellular) (8GB/1024GB),APPLE,2025,28749000,8,1024,Apple M3,12 MP • Wide • f/1.8,9705,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-13-2025/
iPad Air 11 M3 (WiFi + Cellular) (8GB/128GB),APPLE,2025,14249000,8,128,Apple M3,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-11-2025/
iPad Air 11 M3 (WiFi + Cellular) (8GB/256GB),APPLE,2025,16249000,8,256,Apple M3,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-11-2025/
iPad Air 11 M3 (WiFi + Cellular) (8GB/512GB),APPLE,2025,20249000,8,512,Apple M3,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-11-2025/
iPad Air 11 M3 (WiFi + Cellular) (8GB/1024GB),APPLE,2025,24999000,8,1024,Apple M3,12 MP • Wide • f/1.8,7606,20,iPadOS 18.3.1,https://carisinyal.com/hp/apple-ipad-air-11-2025/
iPhone 16e (8GB/128GB),APPLE,2025,10749000,8,128,Apple A18,48 MP • Wide • f/1.6,3279,20,iOS 18.4,https://carisinyal.com/hp/apple-iphone-16e/
iPhone 16e (8GB/256GB),APPLE,2025,13249000,8,256,Apple A18,48 MP • Wide • f/1.6,3279,20,iOS 18.4,https://carisinyal.com/hp/apple-iphone-16e/
iPhone 16e (8GB/512GB),APPLE,2025,17249000,8,512,Apple A18,48 MP • Wide • f/1.6,3279,20,iOS 18.4,https://carisinyal.com/hp/apple-iphone-16e/
iPhone 16 Pro Max (8GB/128GB),APPLE,2024,17499000,8,128,Apple A18 Pro,48 MP • Wide • f/1.8 ; 12 MP • Periscope Telephoto • f/2.8 ; 48 MP • Ultrawide • f/2.2,4685,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-pro-max/
iPhone 16 Pro Max (8GB/256GB),APPLE,2024,20499000,8,256,Apple A18 Pro,48 MP • Wide • f/1.8 ; 12 MP • Periscope Telephoto • f/2.8 ; 48 MP • Ultrawide • f/2.2,4685,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-pro-max/
iPhone 16 Pro Max (8GB/512GB),APPLE,2024,23999000,8,512,Apple A18 Pro,48 MP • Wide • f/1.8 ; 12 MP • Periscope Telephoto • f/2.8 ; 48 MP • Ultrawide • f/2.2,4685,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-pro-max/
iPhone 16 Pro Max (8GB/1024GB),APPLE,2024,27999000,8,1024,Apple A18 Pro,48 MP • Wide • f/1.8 ; 12 MP • Periscope Telephoto • f/2.8 ; 48 MP • Ultrawide • f/2.2,4685,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-pro-max/
iPhone 16 Pro (8GB/128GB),APPLE,2024,17499000,8,128,Apple A18 Pro,48 MP • Wide • f/1.8 ; 12 MP • Periscope Telephoto • f/2.8 ; 48 MP • Ultrawide • f/2.2,3582,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-pro/
iPhone 16 Pro (8GB/256GB),APPLE,2024,19999000,8,256,Apple A18 Pro,48 MP • Wide • f/1.8 ; 12 MP • Periscope Telephoto • f/2.8 ; 48 MP • Ultrawide • f/2.2,3582,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-pro/
iPhone 16 Pro (8GB/512GB),APPLE,2024,23499000,8,512,Apple A18 Pro,48 MP • Wide • f/1.8 ; 12 MP • Periscope Telephoto • f/2.8 ; 48 MP • Ultrawide • f/2.2,3582,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-pro/
iPhone 16 Pro (8GB/1024GB),APPLE,2024,27999000,8,1024,Apple A18 Pro,48 MP • Wide • f/1.8 ; 12 MP • Periscope Telephoto • f/2.8 ; 48 MP • Ultrawide • f/2.2,3582,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-pro/
iPhone 16 Plus (8GB/128GB),APPLE,2024,16999000,8,128,Apple A18,48 MP • Wide • f/1.6 ; 12 MP • Ultrawide • f/2.2,4674,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-plus/
iPhone 16 Plus (8GB/256GB),APPLE,2024,19249000,8,256,Apple A18,48 MP • Wide • f/1.6 ; 12 MP • Ultrawide • f/2.2,4674,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-plus/
iPhone 16 Plus (8GB/512GB),APPLE,2024,22999000,8,512,Apple A18,48 MP • Wide • f/1.6 ; 12 MP • Ultrawide • f/2.2,4674,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16-plus/
iPhone 16 (8GB/128GB),APPLE,2024,14999000,8,128,Apple A18,48 MP • Wide • f/1.6 ; 12 MP • Ultrawide • f/2.2,3560,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16/
iPhone 16 (8GB/256GB),APPLE,2024,16999000,8,256,Apple A18,48 MP • Wide • f/1.6 ; 12 MP • Ultrawide • f/2.2,3560,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16/
iPhone 16 (8GB/512GB),APPLE,2024,20999000,8,512,Apple A18,48 MP • Wide • f/1.6 ; 12 MP • Ultrawide • f/2.2,3560,25,iOS 18,https://carisinyal.com/hp/apple-iphone-16/
iPad mini A17 Pro (WiFi + Cellular) (8GB/128GB),APPLE,2024,12249000,8,128,Apple A17 Pro,12 MP • Wide • f/1.8,5078,10,iPadOS 18,https://carisinyal.com/hp/apple-ipad-mini-5g/
iPad mini A17 Pro (WiFi + Cellular) (8GB/256GB),APPLE,2024,14249000,8,256,Apple A17 Pro,12 MP • Wide • f/1.8,5078,10,iPadOS 18,https://carisinyal.com/hp/apple-ipad-mini-5g/
